,제목,저자,출판사,출판일,정가
35,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키 저/권영주 역,모모,2021년 06월,14000.0
36,슬램덩크 신장재편판 1,이노우에 타케히코 글그림,대원,2018년 08월,7000.0
37,한국형 가치투자,"최준철,김민국 저",이콘,2023년 03월,18000.0
38,구의 증명,최진영 저,은행나무,2015년 03월,8000.0
39,물고기는 존재하지 않는다,룰루 밀러 저/정지인 역,곰출판,2021년 12월,17000.0
40,슬램덩크 신장재편판 6,이노우에 타케히코 글그림,대원,2018년 08월,7000.0
41,슬램덩크 신장재편판 19,이노우에 타케히코 글그림,대원,2018년 11월,7000.0
42,슬램덩크 신장재편판 2,이노우에 타케히코 글그림,대원,2018년 08월,6500.0
43,슬램덩크 신장재편판 4,이노우에 타케히코 글그림,대원,2018년 08월,7000.0
44,슬램덩크 신장재편판 20,이노우에 타케히코 글그림,대원,2018년 11월,7000.0
45,슬램덩크 신장재편판 3,이노우에 타케히코 글그림,대원,2018년 08월,7000.0
46,슬램덩크 신장재편판 5,이노우에 타케히코 글그림,대원,2018년 08월,7000.0
47,슬램덩크 신장재편판 16,이노우에 타케히코 글그림,대원,2018년 11월,7000.0
48,생기부 필독서 100,"주경아,정재화,방희조,이재환,이현규 저",센시오,2023년 03월,22000.0
49,슬램덩크 신장재편판 17,이노우에 타케히코 글그림,대원,2018년 11월,7000.0
50,슬램덩크 신장재편판 18,이노우에 타케히코 글그림,대원,2018년 11월,6500.0
51,슬램덩크 신장재편판 15,이노우에 타케히코 글그림,대원,2018년 11월,7500.0
52,세상의 마지막 기차역,무라세 다케시 저/김지연 역,모모,2022년 05월,14000.0
53,슬램덩크 신장재편판 7,이노우에 타케히코 글그림,대원,2018년 09월,7500.0
54,돈의 속성 200쇄 리커버,김승호 저,스노우폭스북스,2020년 06월,17800.0
55,슬램덩크 신장재편판 8,이노우에 타케히코 글그림,대원,2018년 09월,7500.0
56,주식 시세의 비밀,정재호 저,프런트페이지,2023년 02월,22000.0
57,긴긴밤,루리 글그림,문학동네,2021년 02월,11500.0
58,슬램덩크 신장재편판 9,이노우에 타케히코 글그림,대원,2018년 09월,7500.0
59,이은경쌤의 초등어휘일력 365 ,이은경 저,포레스트북스,2022년 10월,18800.0
60,슬램덩크 신장재편판 11,이노우에 타케히코 글그림,대원,2018년 10월,7000.0
61,슬램덩크 신장재편판 14,이노우에 타케히코 글그림,대원,2018년 10월,7000.0
62,슬램덩크 신장재편판 10,이노우에 타케히코 글그림,대원,2018년 09월,7000.0
63,슬램덩크 신장재편판 13,이노우에 타케히코 글그림,대원,2018년 10월,6500.0
64,조금 더 헤매어도 괜찮아,"이민경,한혜윤,윤세리,김열매,김동건,이준길,감민주,김태엽,박지연 저",매일경제신문사,2023년 03월,15000.0
